ID da Transacao,Item,Quantidade,Valor Unitario,Total do Pedido,Forma de Pagamento,Local,Data da Transacao
TXN_4726376,PastelSalgado,2,13.5,27.0,Credito,NoLocal,2023-01-31
TXN_6044979,,1,1.0,1.0,Dinheiro,NoLocal,2023-12-08
TXN_4238417,DogCompleto,2,15.0,30.0,,ERROR,2023-06-19
TXN_1900620,Refrigerante,2,8.0,16.0,Credito,ERROR,2023-12-14
TXN_6420335,PastelDoce,1,12.0,12.0,Dinheiro,Viagem,2023-07-16
TXN_3858209,DogSimples,4,12.0,48.0,Dinheiro,,2023-02-22
TXN_2091733,DogCompleto,1,15.0,15.0,,NoLocal,
TXN_8735480,Hamburguer,5,1.5,7.5,Dinheiro,,2023-06-02
TXN_3829165,Suco,4,ERROR,UNKNOWN,Dinheiro,NoLocal,2023-06-15
TXN_3748616,PastelDoce,2,12.0,24.0,Credito,NoLocal,2023-12-09
TXN_1993289,DogSimples,2,12.0,24.0,,NoLocal,2023-04-18
TXN_2123367,Batata,2,10.0,20.0,,,2023-11-07
TXN_5266394,PastelSalgado,3,13.5,40.5,Dinheiro,NoLocal,2023-10-28
TXN_5107946,PastelSalgado,4,13.5,54.0,Credito,,2023-12-22
TXN_8035512,Hamburguer,3,,4.5,Dinheiro,UNKNOWN,2023-10-29
TXN_8718498,PastelSalgado,5,13.5,67.5,Credito,ERROR,2023-04-30
TXN_3955361,Batata,5,10.0,50.0,,Viagem,2023-04-02
TXN_9487821,ERROR,1,20.0,20.0,Pix,Viagem,2023-05-24
TXN_4132730,,5,1.0,5.0,,NoLocal,2023-03-12
TXN_8976658,Hamburguer,2,1.5,3.0,Credito,NoLocal,2023-08-16
TXN_5455936,UNKNOWN,5,18.0,90.0,,NoLocal,2023-10-28
TXN_2725602,Suco,5,9.0,45.0,Credito,,2023-09-10
TXN_3011323,PastelDoce,3,12.0,36.0,Credito,,2023-03-07
TXN_6289610,Suco,3,9.0,,Dinheiro,Viagem,2023-08-07
TXN_8268061,DogCompleto,3,15.0,45.0,ERROR,Viagem,2023-08-20
TXN_5220895,DogCompleto,5,15.0,75.0,Dinheiro,NoLocal,2023-06-10
TXN_3085509,PastelDoce,4,12.0,48.0,Pix,NoLocal,2023-04-15
TXN_9999113,Suco,4,9.0,36.0,Dinheiro,Viagem,2023-05-27
TXN_8779771,PastelDoce,4,12.0,48.0,Dinheiro,NoLocal,2023-07-25
TXN_9517146,,5,5.0,25.0,Dinheiro,Viagem,2023-10-30
TXN_1621920,DogCompleto,3,15.0,45.0,,Viagem,2023-10-28
TXN_3808639,Suco,2,9.0,18.0,Pix,Viagem,2023-12-15
TXN_7028009,PastelSalgado,4,13.5,54.0,,Viagem,ERROR
TXN_7447872,Suco,2,,18.0,,,
TXN_6955416,DogCompleto,4,15.0,60.0,ERROR,NoLocal,2023-02-25
TXN_3775339,Batata,3,10.0,30.0,Credito,UNKNOWN,2023-04-03
TXN_9547091,Batata,3,10.0,30.0,Credito,,2023-10-08
TXN_4358673,Batata,5,10.0,50.0,Pix,Viagem,2023-12-28
TXN_4174591,Hamburguer,4,1.5,6.0,Pix,,2023-08-30
TXN_3398520,DogSimples,1,12.0,12.0,,NoLocal,2023-02-03
TXN_6171384,Refrigerante,2,8.0,16.0,Credito,,2023-09-12
TXN_2530938,Refrigerante,5,8.0,40.0,,Viagem,2023-04-27
TXN_3314971,Suco,3,9.0,27.0,Pix,,2023-05-04
TXN_3092382,PastelDoce,5,12.0,60.0,Pix,,2023-02-21
TXN_1001832,DogCompleto,2,15.0,30.0,Dinheiro,Viagem,UNKNOWN
TXN_1535311,Suco,3,9.0,27.0,Dinheiro,,2023-03-16
TXN_2148617,Suco,ERROR,9.0,27.0,Pix,UNKNOWN,2023-01-10
TXN_4633784,ERROR,5,ERROR,UNKNOWN,,NoLocal,2023-02-06
TXN_4368416,DogCompleto,2,15.0,30.0,Credito,Viagem,2023-02-24
TXN_9790731,PastelSalgado,2,13.5,27.0,UNKNOWN,,2023-06-02
TXN_9339456,PastelDoce,3,12.0,36.0,,Viagem,2023-03-29
TXN_5179020,PastelSalgado,2,13.5,27.0,,Viagem,2023-06-18
TXN_6258471,PastelDoce,5,12.0,60.0,Pix,NoLocal,2023-09-23
TXN_7945375,Suco,3,9.0,27.0,,,2023-01-14
TXN_4685453,Hamburguer,4,1.5,6.0,Dinheiro,NoLocal,2023-09-14
TXN_9646452,Suco,5,9.0,45.0,Credito,,2023-09-16
TXN_9096052,Refrigerante,4,8.0,32.0,Credito,Viagem,2023-12-28
TXN_5916991,Suco,2,9.0,18.0,Pix,Viagem,2023-02-06
TXN_3407169,DogSimples,2,12.0,24.0,Dinheiro,NoLocal,2023-03-11
TXN_2277042,Hamburguer,1,1.5,1.5,Dinheiro,,2023-04-08
TXN_9273729,Hamburguer,1,1.5,1.5,,,2023-12-19
TXN_2181545,Suco,4,9.0,36.0,Credito,Viagem,2023-07-14
TXN_1150033,Suco,5,9.0,45.0,Dinheiro,NoLocal,2023-04-18
TXN_1443912,Suco,2,9.0,18.0,,,2023-06-08
TXN_8700451,Hamburguer,5,1.5,7.5,Credito,Viagem,2023-12-12
TXN_6380550,PastelDoce,5,12.0,60.0,Dinheiro,NoLocal,2023-01-05
TXN_4885518,DogCompleto,3,15.0,45.0,Credito,NoLocal,2023-06-10
TXN_3972167,DogSimples,5,12.0,60.0,,NoLocal,2023-01-23
TXN_4878378,Hamburguer,1,1.5,1.5,Credito,,2023-02-20
TXN_2484241,PastelSalgado,3,,40.5,Pix,,2023-07-19
TXN_2368126,PastelSalgado,5,13.5,67.5,,NoLocal,2023-12-06
TXN_7943008,PastelDoce,1,12.0,12.0,Credito,,ERROR
TXN_8495063,Suco,1,9.0,,Dinheiro,,2023-05-31
TXN_4811133,DogCompleto,2,15.0,30.0,Dinheiro,,2023-08-11
TXN_8729570,Hamburguer,5,1.5,7.5,UNKNOWN,NoLocal,2023-09-03
TXN_7623634,PastelSalgado,2,13.5,,Credito,NoLocal,2023-07-11
TXN_9336980,DogCompleto,4,,60.0,Dinheiro,NoLocal,2023-06-06
TXN_3424331,PastelSalgado,4,ERROR,ERROR,,,2023-01-18
TXN_5072031,PastelSalgado,2,13.5,27.0,Dinheiro,Viagem,2023-03-23
TXN_8687151,DogCompleto,5,15.0,75.0,Dinheiro,,2023-06-10
TXN_4031509,,4,,16.0,Credito,Viagem,2023-01-04
TXN_5265095,PastelDoce,1,12.0,12.0,ERROR,,2023-06-23
TXN_6541415,UNKNOWN,UNKNOWN,18.0,72.0,Dinheiro,NoLocal,2023-11-25
TXN_4108138,PastelDoce,5,12.0,60.0,Dinheiro,,2023-08-03
TXN_1909796,Refrigerante,2,8.0,16.0,,Viagem,2023-07-12
TXN_1928241,PastelDoce,3,12.0,36.0,Dinheiro,NoLocal,2023-04-30
TXN_4283157,DogCompleto,5,15.0,75.0,Pix,NoLocal,2023-11-25
TXN_8013032,PastelDoce,2,12.0,24.0,Credito,,2023-03-07
TXN_8301424,Suco,2,9.0,18.0,,ERROR,2023-06-27
TXN_1093800,DogSimples,3,12.0,36.0,Dinheiro,Viagem,
TXN_7965998,Suco,1,,9.0,Credito,NoLocal,2023-11-02
TXN_9238666,Batata,1,,10.0,ERROR,Viagem,2023-07-31
TXN_1631695,Hamburguer,2,1.5,3.0,,NoLocal,2023-09-19
TXN_1435086,PastelSalgado,5,,67.5,,ERROR,2023-02-09
TXN_3226832,UNKNOWN,5,20.0,100.0,Dinheiro,UNKNOWN,2023-09-04
TXN_1648671,DogSimples,3,12.0,36.0,Dinheiro,Viagem,2023-05-21
TXN_4062737,PastelSalgado,3,UNKNOWN,UNKNOWN,Dinheiro,NoLocal,2023-07-02
TXN_3494565,,2,4.0,8.0,ERROR,,2023-07-10
TXN_9249507,Batata,4,10.0,40.0,Credito,NoLocal,2023-11-21
TXN_4689500,DogSimples,4,12.0,48.0,,,2023-12-02
TXN_8989148,Hamburguer,2,1.5,,,,2023-11-25
TXN_8316826,PastelDoce,3,12.0,36.0,,NoLocal,2023-04-17
TXN_9836934,Batata,3,10.0,30.0,Pix,NoLocal,2023-03-13
TXN_8005489,PastelSalgado,3,13.5,40.5,,NoLocal,2023-08-12
TXN_6463132,Batata,5,10.0,50.0,Credito,Viagem,
TXN_3925836,Batata,3,10.0,30.0,Pix,NoLocal,2023-02-16
TXN_1896955,DogCompleto,ERROR,15.0,75.0,,NoLocal,2023-09-23
TXN_5075974,Refrigerante,ERROR,8.0,32.0,Pix,,2023-04-11
TXN_3978874,Refrigerante,5,8.0,40.0,Credito,NoLocal,2023-03-13
TXN_8955912,DogSimples,1,12.0,12.0,,,2023-11-07
TXN_1136554,Refrigerante,3,8.0,24.0,UNKNOWN,Viagem,2023-03-26
TXN_8007337,PastelSalgado,2,13.5,27.0,Pix,Viagem,2023-11-01
TXN_8129834,DogCompleto,1,15.0,15.0,Dinheiro,,2023-07-22
TXN_3831848,UNKNOWN,1,24.0,24.0,Pix,Viagem,2023-11-03
TXN_5365809,PastelSalgado,3,13.5,40.5,Dinheiro,NoLocal,2023-09-14
TXN_8166407,Refrigerante,2,,16.0,,,2023-07-26
TXN_6629480,Refrigerante,5,8.0,40.0,Credito,NoLocal,2023-02-28
TXN_3833797,PastelDoce,4,12.0,48.0,UNKNOWN,NoLocal,2023-01-27
TXN_2643815,Batata,UNKNOWN,10.0,30.0,ERROR,,2023-12-06
TXN_2996519,PastelSalgado,5,13.5,67.5,Dinheiro,,2023-01-19
TXN_8810894,Refrigerante,1,8.0,8.0,,,2023-02-20
TXN_7412722,Suco,4,9.0,36.0,Dinheiro,NoLocal,2023-04-07
TXN_3937509,Refrigerante,2,8.0,16.0,,NoLocal,2023-03-20
TXN_6000201,Batata,3,10.0,30.0,Dinheiro,Viagem,2023-02-16
TXN_1714274,Batata,4,10.0,40.0,,NoLocal,2023-12-27
TXN_3800182,Hamburguer,2,,3.0,Dinheiro,NoLocal,2023-10-26
TXN_5115080,,5,3.0,15.0,Credito,,2023-02-18
TXN_9788956,Suco,ERROR,9.0,36.0,ERROR,,2023-04-11
TXN_6311602,Suco,3,9.0,27.0,Credito,,2023-05-15
TXN_2950680,PastelDoce,2,12.0,24.0,Credito,Viagem,2023-12-10
TXN_6749847,PastelSalgado,2,13.5,27.0,Credito,,2023-08-15
TXN_2143187,Refrigerante,1,8.0,8.0,,NoLocal,2023-04-21
TXN_8964522,,3,3.0,9.0,Credito,Viagem,2023-10-28
TXN_4088917,PastelDoce,3,12.0,36.0,Dinheiro,Viagem,2023-02-04
TXN_3779366,Batata,1,10.0,10.0,Pix,NoLocal,2023-04-15
TXN_7724048,Refrigerante,1,8.0,8.0,ERROR,NoLocal,2023-11-12
TXN_2698591,Hamburguer,5,UNKNOWN,ERROR,,,2023-08-05
TXN_3171373,Refrigerante,3,8.0,24.0,Credito,NoLocal,2023-05-10
TXN_4129248,DogSimples,2,12.0,24.0,Credito,,ERROR
TXN_6498163,Refrigerante,5,8.0,40.0,,NoLocal,2023-07-15
TXN_6717827,ERROR,3,20.0,60.0,Pix,,2023-11-15
TXN_9089898,DogCompleto,3,,45.0,Credito,,2023-01-11
TXN_8587583,PastelSalgado,1,,13.5,,,2023-10-01
TXN_8693704,DogCompleto,ERROR,15.0,75.0,Dinheiro,NoLocal,2023-05-04
TXN_3857960,DogCompleto,4,15.0,60.0,Dinheiro,NoLocal,2023-04-26
TXN_3499124,ERROR,4,24.0,96.0,Credito,,2023-08-25
TXN_9250710,DogCompleto,1,15.0,15.0,Dinheiro,NoLocal,2023-05-28
TXN_7058377,Suco,1,9.0,9.0,,Viagem,2023-04-30
TXN_6766492,DogCompleto,1,15.0,15.0,,ERROR,2023-01-14
TXN_9879996,PastelDoce,4,12.0,48.0,Pix,NoLocal,2023-03-01
TXN_4291940,PastelSalgado,3,13.5,40.5,Credito,NoLocal,2023-11-13
TXN_7433461,Batata,2,10.0,20.0,Pix,,2023-07-09
TXN_4068262,DogCompleto,2,15.0,30.0,Credito,,2023-05-13
TXN_5761073,Batata,1,10.0,10.0,Dinheiro,NoLocal,UNKNOWN
TXN_5047447,DogCompleto,1,15.0,15.0,Pix,Viagem,2023-12-27
TXN_6623508,Batata,5,10.0,50.0,Pix,Viagem,2023-05-18
TXN_2651216,UNKNOWN,3,24.0,72.0,,,2023-04-04
TXN_9350833,PastelSalgado,1,,13.5,Dinheiro,Viagem,2023-01-17
TXN_8377564,PastelSalgado,5,13.5,67.5,,NoLocal,2023-07-14
TXN_7031118,DogCompleto,1,15.0,15.0,Credito,ERROR,2023-03-29
TXN_2230167,PastelSalgado,4,13.5,54.0,Pix,Viagem,2023-09-22
TXN_6446616,Hamburguer,3,1.5,4.5,ERROR,,2023-09-30
TXN_1721827,PastelSalgado,4,13.5,54.0,Pix,ERROR,2023-08-22
TXN_6334895,Refrigerante,1,8.0,8.0,Credito,ERROR,2023-07-27
TXN_7077119,ERROR,1,24.0,24.0,Pix,NoLocal,2023-12-30
TXN_8562645,DogCompleto,ERROR,15.0,,,NoLocal,2023-05-18
TXN_4700144,PastelDoce,4,12.0,48.0,,NoLocal,2023-12-21
TXN_5526852,DogSimples,5,12.0,,Pix,NoLocal,2023-09-28
TXN_6846228,DogCompleto,3,,45.0,,NoLocal,2023-11-16
TXN_8570890,Suco,4,9.0,36.0,,,2023-04-14
TXN_3205009,ERROR,2,4.5,9.0,Dinheiro,NoLocal,2023-01-03
TXN_3786188,Hamburguer,3,1.5,4.5,Credito,NoLocal,2023-10-20
TXN_4530804,PastelDoce,4,12.0,48.0,,,2023-01-12
TXN_9642066,DogSimples,3,12.0,36.0,Credito,NoLocal,2023-08-31
TXN_7328294,Suco,2,9.0,18.0,Dinheiro,,2023-07-07
TXN_1908636,Hamburguer,2,1.5,3.0,,UNKNOWN,
TXN_9238066,,5,1.5,7.5,Pix,NoLocal,2023-09-15
TXN_5415901,PastelSalgado,2,13.5,27.0,Pix,,2023-10-21
TXN_6714420,ERROR,2,18.0,36.0,Credito,Viagem,2023-03-30
TXN_6616971,Suco,2,9.0,18.0,Pix,Viagem,2023-09-02
TXN_7803615,DogCompleto,3,15.0,45.0,Dinheiro,NoLocal,2023-12-13
TXN_7549542,Batata,5,10.0,50.0,,Viagem,
TXN_3544789,Hamburguer,4,ERROR,UNKNOWN,UNKNOWN,NoLocal,2023-07-14
TXN_1583597,DogCompleto,1,15.0,15.0,Dinheiro,NoLocal,2023-05-10
TXN_8472308,Batata,2,10.0,20.0,Pix,Viagem,2023-08-19
TXN_1967565,Refrigerante,5,ERROR,UNKNOWN,Credito,Viagem,2023-03-31
TXN_2029497,DogSimples,2,12.0,24.0,Dinheiro,Viagem,2023-01-06
TXN_8929774,ERROR,3,9.0,27.0,Dinheiro,,2023-10-02
TXN_5003018,Batata,4,10.0,,Pix,,UNKNOWN
TXN_7852990,DogSimples,5,12.0,60.0,Pix,Viagem,2023-07-10
TXN_2534066,DogCompleto,2,15.0,30.0,Dinheiro,,2023-10-13
TXN_2059647,Hamburguer,1,1.5,1.5,Pix,NoLocal,2023-05-29
TXN_2485183,Refrigerante,5,8.0,40.0,Dinheiro,NoLocal,2023-07-07
TXN_7374846,DogSimples,1,12.0,12.0,Credito,UNKNOWN,2023-05-29
TXN_9401522,DogSimples,4,12.0,48.0,Pix,NoLocal,2023-11-16
TXN_8250651,DogSimples,4,12.0,48.0,Pix,NoLocal,2023-03-13
TXN_7191245,PastelSalgado,4,13.5,54.0,,Viagem,2023-05-22
TXN_8982764,PastelSalgado,5,13.5,67.5,Pix,Viagem,2023-11-23
TXN_8669422,,4,3.0,12.0,Dinheiro,Viagem,2023-10-15
TXN_1153869,Refrigerante,5,8.0,40.0,Credito,Viagem,2023-11-03
TXN_5043774,DogSimples,3,12.0,36.0,Dinheiro,,2023-06-08
TXN_1746320,DogCompleto,1,15.0,15.0,Dinheiro,,2023-11-14
TXN_1077129,Batata,1,10.0,10.0,,NoLocal,2023-09-12
TXN_4865338,DogSimples,UNKNOWN,12.0,48.0,,NoLocal,2023-11-26
TXN_5616583,Refrigerante,1,8.0,8.0,,,2023-10-13
TXN_2078474,Batata,2,10.0,20.0,,Viagem,2023-11-03
TXN_2130245,Refrigerante,5,8.0,40.0,Credito,,2023-11-13
TXN_3229409,Suco,UNKNOWN,9.0,,Dinheiro,Viagem,2023-04-15
TXN_9076216,PastelSalgado,1,13.5,13.5,Dinheiro,,2023-12-17
TXN_6371987,Hamburguer,5,1.5,,UNKNOWN,Viagem,2023-03-13
TXN_9913877,ERROR,2,12.0,24.0,Credito,,2023-05-09
TXN_2084377,Refrigerante,1,8.0,8.0,Credito,ERROR,2023-10-22
TXN_1842675,ERROR,4,ERROR,UNKNOWN,Credito,Viagem,2023-06-23
TXN_8605813,Batata,1,ERROR,ERROR,,,2023-06-30
TXN_9755352,DogSimples,5,12.0,60.0,,NoLocal,2023-05-13
TXN_7550498,Suco,5,9.0,45.0,,NoLocal,ERROR
TXN_2305908,PastelDoce,UNKNOWN,12.0,48.0,Dinheiro,,2023-04-25
TXN_6953697,UNKNOWN,3,12.0,36.0,,Viagem,2023-05-27
TXN_3495950,,4,,6.0,Credito,NoLocal,2023-02-19
TXN_7557340,Hamburguer,5,1.5,7.5,Credito,NoLocal,2023-12-11
TXN_1157817,Refrigerante,1,8.0,8.0,Pix,NoLocal,2023-04-25
TXN_2020318,Hamburguer,3,1.5,4.5,Pix,NoLocal,2023-10-12
TXN_8692094,PastelDoce,5,12.0,60.0,,Viagem,2023-08-30
TXN_5307411,PastelSalgado,3,13.5,,Pix,Viagem,2023-10-21
TXN_9703120,PastelDoce,3,12.0,36.0,Credito,,2023-11-02
TXN_1289133,Suco,1,9.0,9.0,Dinheiro,UNKNOWN,2023-09-19
TXN_2031459,PastelSalgado,3,13.5,40.5,Dinheiro,Viagem,2023-07-04
TXN_1333682,Refrigerante,1,8.0,8.0,Pix,,2023-01-28
TXN_2256622,Batata,2,,20.0,Dinheiro,NoLocal,2023-10-04
TXN_1623966,Hamburguer,2,1.5,3.0,Dinheiro,Viagem,UNKNOWN
TXN_4912930,Refrigerante,3,8.0,24.0,Credito,NoLocal,2023-02-26
TXN_4942692,PastelDoce,2,12.0,24.0,,Viagem,2023-01-15
TXN_3723007,Hamburguer,3,1.5,4.5,Pix,NoLocal,2023-05-18
TXN_7922392,DogSimples,3,12.0,36.0,,,2023-05-03
TXN_7498727,DogCompleto,3,15.0,45.0,Dinheiro,,2023-11-06
TXN_1222338,Batata,1,10.0,10.0,,NoLocal,2023-10-11
TXN_6878866,Refrigerante,3,8.0,24.0,Credito,,2023-02-25
TXN_1260335,Batata,4,10.0,40.0,Pix,NoLocal,
TXN_9223242,Refrigerante,2,8.0,16.0,,,2023-09-10
TXN_6244211,Refrigerante,2,8.0,16.0,,,2023-08-11
TXN_5446858,,1,1.0,1.0,Dinheiro,NoLocal,2023-11-07
TXN_4612864,Hamburguer,3,1.5,4.5,,,2023-02-14
TXN_5411381,Batata,ERROR,10.0,10.0,,,2023-04-28
TXN_3047598,Batata,1,10.0,10.0,,,2023-09-06
TXN_5754317,PastelDoce,2,,24.0,Credito,Viagem,2023-01-10
TXN_7496926,DogSimples,3,12.0,36.0,ERROR,NoLocal,2023-04-23
TXN_1726858,Refrigerante,3,8.0,24.0,Dinheiro,NoLocal,
TXN_7559388,DogCompleto,4,UNKNOWN,UNKNOWN,Pix,Viagem,2023-02-26
TXN_8540499,Batata,3,10.0,30.0,Dinheiro,NoLocal,2023-01-22
TXN_4225756,Batata,3,10.0,30.0,,NoLocal,2023-03-10
TXN_6795640,Batata,4,10.0,40.0,Pix,Viagem,2023-01-28
TXN_6702428,PastelDoce,5,12.0,60.0,Dinheiro,Viagem,2023-08-11
TXN_8955259,ERROR,2,24.0,48.0,Credito,,2023-11-18
TXN_4639319,PastelDoce,5,12.0,60.0,Dinheiro,,2023-01-09
TXN_5997803,PastelDoce,5,12.0,60.0,,NoLocal,2023-12-03
TXN_1340956,ERROR,4,10.0,40.0,,,2023-10-26
TXN_1259671,DogSimples,UNKNOWN,12.0,36.0,Pix,NoLocal,2023-10-08
TXN_8319993,Suco,1,9.0,9.0,Pix,,2023-08-06
TXN_8894157,DogSimples,4,12.0,48.0,Credito,,ERROR
TXN_5523450,DogCompleto,5,15.0,75.0,Credito,Viagem,2023-07-02
TXN_7838964,DogSimples,3,12.0,36.0,Credito,NoLocal,2023-06-15
TXN_2773987,Refrigerante,5,8.0,40.0,ERROR,,2023-01-11
TXN_1158829,Hamburguer,1,,1.5,Credito,,2023-10-02
TXN_2523298,,4,,6.0,ERROR,NoLocal,2023-03-25
TXN_8685737,Refrigerante,2,8.0,16.0,,NoLocal,2023-11-02
TXN_5634135,Batata,2,,20.0,,ERROR,2023-01-27
TXN_1524626,Refrigerante,2,8.0,16.0,Pix,,2023-12-29
TXN_7275407,Refrigerante,2,8.0,16.0,Pix,NoLocal,2023-10-20
TXN_2889622,Suco,4,9.0,36.0,Credito,,2023-11-01
TXN_6849113,Batata,ERROR,10.0,10.0,Credito,,2023-07-14
TXN_2265316,Batata,,10.0,30.0,Credito,NoLocal,2023-12-29
TXN_9472241,DogCompleto,3,15.0,45.0,Dinheiro,Viagem,2023-06-30
TXN_7345414,DogCompleto,1,,15.0,,UNKNOWN,2023-02-15
TXN_4473352,PastelSalgado,1,13.5,13.5,UNKNOWN,NoLocal,2023-11-16
TXN_2814363,Hamburguer,2,1.5,3.0,,,2023-07-02
TXN_1846004,Suco,3,9.0,27.0,Dinheiro,NoLocal,2023-05-21
TXN_7140471,PastelSalgado,1,13.5,13.5,Credito,,2023-05-25
TXN_3119542,Refrigerante,1,8.0,8.0,Credito,,2023-10-31
TXN_7773968,DogSimples,5,12.0,60.0,Pix,Viagem,2023-02-24
TXN_9081088,Hamburguer,2,1.5,3.0,Dinheiro,Viagem,2023-02-27
TXN_8559167,DogSimples,5,UNKNOWN,UNKNOWN,UNKNOWN,Viagem,2023-12-09
TXN_1130191,Refrigerante,2,8.0,16.0,Dinheiro,NoLocal,2023-04-06
TXN_5215451,DogSimples,5,12.0,60.0,Pix,,2023-11-02
